action_stability,action_switches,cost,dropped_requests,family,latency_proxy,mean_queue,model_path,return,seed,steps,traffic_profile,variant,vecnorm_path
0.7137137137137137,286,4230.0,0.0,A2C,0.003604,1.802,./models/best_a2c_sla_safe/best_model.zip,-4340.057788968086,4,1000,standard,A2C SLA-Safe,./models/vecnormalize_a2c_sla_safe.pkl
0.7317317317317318,268,2321.0,20.0,PPO-LSTM,0.107678,53.839,./models/best_recurrent_ppo/best_model.zip,-2806.0588641166687,0,1000,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.7037037037037037,296,2326.0,311.0,PPO-LSTM,0.10755200000000001,53.776,./models/best_recurrent_ppo/best_model.zip,-8591.611822485924,1,1000,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.7477477477477478,252,2225.0,0.0,PPO-LSTM,0.098646,49.323,./models/best_recurrent_ppo/best_model.zip,-2325.013931632042,2,1000,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.6836836836836837,316,2390.0,465.0,PPO-LSTM,0.159448,79.724,./models/best_recurrent_ppo/best_model.zip,-11783.908925175667,3,1000,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.6756756756756757,324,2415.0,0.0,PPO-LSTM,0.13999199999999998,69.996,./models/best_recurrent_ppo/best_model.zip,-2482.244370698929,4,1000,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.7037037037037037,296,2270.0,22.0,PPO-LSTM,0.114716,57.358,./models/best_recurrent_ppo_balanced/best_model.zip,-2891.2823889255524,0,1000,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.7397397397397397,260,2343.0,107.0,PPO-LSTM,0.11858199999999999,59.291,./models/best_recurrent_ppo_balanced/best_model.zip,-4684.862522602081,1,1000,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.7427427427427428,257,2228.0,2.0,PPO-LSTM,0.106834,53.417,./models/best_recurrent_ppo_balanced/best_model.zip,-2373.8028765916824,2,1000,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.6656656656656657,334,2399.0,158.0,PPO-LSTM,0.157742,78.871,./models/best_recurrent_ppo_balanced/best_model.zip,-5778.510914921761,3,1000,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.6976976976976976,302,2425.0,0.0,PPO-LSTM,0.148344,74.172,./models/best_recurrent_ppo_balanced/best_model.zip,-2658.444034218788,4,1000,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.8168168168168168,183,2557.0,0.0,PPO-LSTM,0.046868,23.434,./models/best_recurrent_ppo_stable/best_model.zip,-2563.898681282997,0,1000,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8388388388388388,161,2562.0,0.0,PPO-LSTM,0.040701999999999995,20.351,./models/best_recurrent_ppo_stable/best_model.zip,-2568.795472741127,1,1000,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8478478478478478,152,2531.0,0.0,PPO-LSTM,0.047304,23.652,./models/best_recurrent_ppo_stable/best_model.zip,-2538.261070728302,2,1000,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8278278278278278,172,2773.0,1.0,PPO-LSTM,0.050984,25.492,./models/best_recurrent_ppo_stable/best_model.zip,-2805.1816396713257,3,1000,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8288288288288288,171,2697.0,0.0,PPO-LSTM,0.05307,26.535,./models/best_recurrent_ppo_stable/best_model.zip,-2704.240721344948,4,1000,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8098098098098099,190,2545.0,0.0,PPO-LSTM,0.044474,22.237,./models/best_recurrent_ppo_memory256/best_model.zip,-2576.59228181839,0,1000,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
