action_stability_mean,action_stability_std,action_switches_mean,action_switches_std,cost_mean,cost_std,dropped_requests_mean,dropped_requests_std,family,latency_proxy_mean,latency_proxy_std,mean_queue_mean,mean_queue_std,model_path,num_seeds,overall_score,return_mean,return_std,traffic_profile,variant,vecnorm_path
0.6542542542542542,0.0039789002831534985,345.4,3.9749213828703582,3903.4,205.65334910961212,0.0,0.0,A2C,0.0050624,0.0010444552647193653,2.5312,0.5222276323596827,./models/best_a2c/best_model.zip,5,0.6896949288333502,-4026.503268098831,229.0247371722904,standard,A2C Original,./models/vecnormalize_a2c.pkl
0.7071071071071071,0.008452385118151941,292.6,8.44393273303382,3722.8,175.76034820174885,0.0,0.0,A2C,0.0079608,0.0011998063177029866,3.9804000000000004,0.5999031588514931,./models/best_a2c_balanced/best_model.zip,5,0.7359639624696475,-3806.983681511879,184.8696790562683,standard,A2C Balanced,./models/vecnormalize_a2c_balanced.pkl
0.7579579579579581,0.006766944456919167,241.8,6.760177512462228,3132.8,169.3552479257729,11.8,25.830214865540704,A2C,0.040706,0.006563175603318868,20.353,3.281587801659435,./models/best_a2c_cost_aware/best_model.zip,5,0.7762437343882727,-3385.740596246719,627.565341315551,standard,A2C Cost-Aware,./models/vecnormalize_a2c_cost_aware.pkl
0.46306306306306305,0.011940897264021342,536.4,11.928956366757319,4004.4,225.76381463821878,0.0,0.0,A2C,0.0059048,0.0015284702156077496,2.9524,0.7642351078038748,./models/best_a2c_long_rollout/best_model.zip,5,0.5789115623695987,-4504.508029580116,245.8404358247644,standard,A2C Long-Rollout,./models/vecnormalize_a2c_long_rollout.pkl
0.548948948948949,0.036178951396243365,450.6,36.14277244484712,4710.0,249.26592225974252,0.0,0.0,A2C,0.0018884000000000001,0.0014051159382769808,0.9442,0.7025579691384904,./models/best_a2c_low_lr_stable/best_model.zip,5,0.42262658227848104,-5758.039128446579,141.24568655710655,standard,A2C Low-LR-Stable,./models/vecnormalize_a2c_low_lr_stable.pkl
0.7347347347347347,0.02641770414493823,265.0,26.391286440793294,4033.2,216.10229059406103,0.0,0.0,A2C,0.0053332,0.0014134755746032543,2.6666,0.7067377873016272,./models/best_a2c_sla_safe/best_model.zip,5,0.692753430908044,-4113.313367700577,253.62726475339826,standard,A2C SLA-Safe,./models/vecnormalize_a2c_sla_safe.pkl
0.7085085085085085,0.03080742192059476,291.2,30.776614498674153,2335.4,73.82614712959088,159.2,215.99930555443925,PPO-LSTM,0.1226632,0.025899513995440146,61.3316,12.949756997720073,./models/best_recurrent_ppo/best_model.zip,5,0.2400481913245669,-5597.767582821846,4342.88173209035,standard,PPO-LSTM Original,./models/vecnormalize_recurrent_ppo.pkl
0.70990990990991,0.03206642297965175,289.8,32.03435655667209,2333.0,83.5374167663808,57.8,71.05772301446198,PPO-LSTM,0.1292436,0.022382443628880203,64.62180000000001,11.1912218144401,./models/best_recurrent_ppo_balanced/best_model.zip,5,0.6051743393028411,-3677.380547451973,1481.9974214012705,standard,PPO-LSTM Balanced,./models/vecnormalize_recurrent_ppo_balanced.pkl
0.832032032032032,0.011788885301651468,167.8,11.77709641634983,2624.0,105.48933595392475,0.2,0.447213595499958,PPO-LSTM,0.0477856,0.004727736329365251,23.8928,2.363868164682625,./models/best_recurrent_ppo_stable/best_model.zip,5,0.9209408132276107,-2636.07551715374,114.61581661942645,standard,PPO-LSTM Stable,./models/vecnormalize_recurrent_ppo_stable.pkl
0.8042042042042041,0.01618095747928746,195.6,16.16477652180815,2555.2,94.95367291474301,0.0,0.0,PPO-LSTM,0.051940799999999995,0.008091558391311282,25.9704,4.0457791956556415,./models/best_recurrent_ppo_memory256/best_model.zip,5,0.9168994138140882,-2604.2840852499007,101.75827192736884,standard,PPO-LSTM Memory256,./models/vecnormalize_recurrent_ppo_memory256.pkl
0.8426426426426425,0.006386041204298918,157.2,6.379655163094632,2895.4,105.02999571550977,0.2,0.447213595499958,PPO-LSTM,0.0316548,0.003261647927045467,15.827399999999997,1.6308239635227335,./models/best_recurrent_ppo_long_sequence/best_model.zip,5,0.8931295656130692,-2928.7346564769746,113.68388641701844,standard,PPO-LSTM Long-Sequence,./models/vecnormalize_recurrent_ppo_long_sequence.pkl
0.8284284284284285,0.006956776918476082,171.4,6.9498201415576215,2877.6,90.14321937894165,0.0,0.0,PPO-LSTM,0.030588000000000004,0.001962667572463559,15.294,0.9813337862317798,./models/best_recurrent_ppo_robust_spikes/best_model.zip,5,0.8956259380647751,-2896.7711020231245,96.68824809841439,standard,PPO-LSTM Robust-Spikes,./models/vecnormalize_recurrent_ppo_robust_spikes.pkl
